Curah Hujan Tertinggi
2010: 67, 42, 95, 180, 110, 35, 23, 58, 31, 60, 42, 45
2011: -, 46, 99, 122, 81, 1, 4, 93, 58, 58, 11, -
2012: -, 36, 77.5, 78, 67, 31.6, 12, 141, 125, 28, 4.7, -
2013: 120.8, 21.1
2014: 2.5, 137.9, 137.4, 70.2, 105.2, 17.5, 25.3, 51.5, -, 30, 0, 0
2015: 74.4, 69.9, 130.7, 42.2, 160.3, 0, 30, 127.6, 5.2, 27.9, 0, 0
2016: 0, 38.7, 115.3, 103.4, 160.3, 8.5, 23.9, 76.2, 15, 57.3, 127.4, 52
2017: 45.4, 70.8, 109.3, 120.3, 107.9, 13.6, 55.8, 42.2, 6.9, 78.5, 40, 50.9
2018: 1.2, 40.6, 140.3, 112.8, 124.6, 25.5, 22.1, 152.1, 7.1, 36.2, 9.7, 0.5
2019: 0, 107, 40.7, 40.5, 84.4, 2, 46.8, 88.5, 32.9, 61, 0, 0
2020: 16, 35.7, 95.1, 95.1, 89.1, 2.1, 11.2, 56.7, 122.9, 58.1, 19.7, 11.5
2021: 30.4, 135.8, 218.8, 73.8, 111, 24.9, 16.1, 153.7, 43.5, 49.8, 22.5, 35.5
2022: 13.4, 24.3, 75.7, 155.3, 123.1, 4.1, 19.3, 36, 147.6, 54.9, 101.6, 34.6
2023: 0, 41.4, 63.2, 200, 90.7, 35.7, 15.4, 51.8, 34.6, 26.4, 7.5, 0
2024: 0.2, 33, 140, 66.9, 51.4, 33.6, 23.6, 54.6, 63.7, 99.4, 16, 10
